indicator,topic,source
"Population by educational attainment, secondary, female (aged 25-29)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 25-29)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 30-34)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 30-34)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 35-39)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 35-39)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 40-44)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 40-44)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 45-49)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 45-49)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 5-9)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 5-9)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 50-54)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 50-54)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 55-59)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 55-59)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 60-64)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 60-64)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 65-69)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 65-69)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 70-74)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 70-74)",Education ,Education Statistics
"Population by educational attainment, secondary, female (aged 75+)",Education,Education Statistics
"Population by educational attainment, secondary, female (aged 75+)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 0-4)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 0-4)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 10-14)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 10-14)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 15-19)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 15-19)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 20-24)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 20-24)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 25-29)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 25-29)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 30-34)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 30-34)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 35-39)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 35-39)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 40-44)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 40-44)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 45-49)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 45-49)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 5-9)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 5-9)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 50-54)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 50-54)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 55-59)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 55-59)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 60-64)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 60-64)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 65-69)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 65-69)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 70-74)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 70-74)",Education ,Education Statistics
"Population by educational attainment, secondary, male (aged 75+)",Education,Education Statistics
"Population by educational attainment, secondary, male (aged 75+)",Education ,Education Statistics
Population density (people per sq. km of land area),Urban Development,World Development Indicators
